movieId,title,genres
1,Dunkirk (2017),Drama|War
2,American Sniper (2014),Action|War
3,Midnight in Paris (2011),Fantasy|Romance
4,Inglorious Basterds (2009),Drama|Action
5,Django Unchained (2012),Drama|Western
6,Solo: A Star Wars Story (2018),Sci-fi|Action
7,Borat (2006),Comedy
8,Resevoir Dogs (1992),Drama|Mystery
9,Snowpiercer (2013),Fantasy|Thriller
10,"Wolf of Wall Street, The (2013)",Comedy|Crime
11,Blade Runner (1982),Fantasy|Sci-fi
12,Blade Runner 2049 (2017),Fantasy|Mystery
13,Taxi Driver (1976),Mystery|Crime
14,Watchmen (2009),Superhero|Drama
15,Legend (2015),Drama|Crime
16,Saving Private Ryan (1998),War|Action
17,Hacksaw Ridge (2016),Drama|War
18,Pulp Fiction (1994),Drama|Crime
19,Spirited Away (2001),Fantasy|Mystery
20,La La Land (2016),Drama|Romance
